date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:12	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Jan%202020%2010:13:11%20GMT	http://eliteadmin.themedesigner.in/robots.txt		(from )
15:43:14	74208/74208	---M--	200	added ('OK')	text/html	etag:%22121e0-598c9054793f3%22	http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/hospital/index.html	(from )
15:43:16	1347/1347	---M--	200	added ('OK')	image/png	etag:%22543-583162e7b0a90%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:17	540/540	---M-Z	200	added ('OK')	text/css	etag:%2221c-583162e7f63d6-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:19	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-583162e80427e-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:22	422/422	---M-Z	200	added ('OK')	text/css	etag:%221a6-583162e8a2d8a-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/hospital/dist/css/pages/dashboard1.css	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/hospital/dist/css/pages/dashboard1.css	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:24	1980/1980	---M--	200	added ('OK')	image/png	etag:%227bc-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:25	1785/1785	---M--	200	added ('OK')	image/png	etag:%226f9-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:31	31418/31418	---M--	200	added ('OK')	image/jpeg	etag:%227aba-583162e7b4528%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:38	75554/75554	---M--	200	added ('OK')	image/jpeg	etag:%2212722-583162e7b4528%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:43:46	43005/43005	---M--	200	added ('OK')	image/jpeg	etag:%22a7fd-583162e7b4528%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:45:05	145591/145591	---M--	200	added ('OK')	image/jpeg	etag:%22238b7-583162e7b02c0%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img1.jpg	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img1.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
15:45:10	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Jan%202020%2010:15:10%20GMT	http://eliteadmin.themedesigner.in/demos/bt4/hospital/login.html	G:/Hacakthon]/elite/eliteadmin.themedesigner.in/demos/bt4/hospital/login.f.delayed	(from http://eliteadmin.themedesigner.in/demos/bt4/hospital/index.html)
